season,round_name,team1,team2,winner
2017,R64,South Carolina,Marquette,South Carolina
2017,R64,UCLA,Kent St.,UCLA
2017,R64,Villanova,Mount St. Mary's,Villanova
2017,R64,Virginia,UNC Wilmington,Virginia
2017,R64,West Virginia,Bucknell,West Virginia
2017,R64,Wisconsin,Virginia Tech,Wisconsin
2017,R32,Cincinnati,UCLA,UCLA
2017,R32,Gonzaga,Northwestern,Gonzaga
2017,R32,Iowa St.,Purdue,Purdue
2017,R32,Kansas,Michigan St.,Kansas
2017,R32,Michigan,Louisville,Michigan
2017,R32,Middle Tennessee,Butler,Butler
2017,R32,North Carolina,Arkansas,North Carolina
2017,R32,Notre Dame,West Virginia,West Virginia
2017,R32,Rhode Island,Oregon,Oregon
2017,R32,Saint Mary's,Arizona,Arizona
2017,R32,South Carolina,Duke,South Carolina
2017,R32,USC,Baylor,Baylor
2017,R32,Villanova,Wisconsin,Wisconsin
2017,R32,Virginia,Florida,Florida
2017,R32,Wichita St.,Kentucky,Kentucky
2017,R32,Xavier,Florida St.,Xavier
2017,S16,Baylor,South Carolina,South Carolina
2017,S16,Gonzaga,West Virginia,Gonzaga
2017,S16,Kansas,Purdue,Kansas
2017,S16,North Carolina,Butler,North Carolina
2017,S16,Oregon,Michigan,Oregon
2017,S16,UCLA,Kentucky,Kentucky
2017,S16,Wisconsin,Florida,Florida
2017,S16,Xavier,Arizona,Xavier
2017,E8,Florida,South Carolina,South Carolina
2017,E8,Gonzaga,Xavier,Gonzaga
2017,E8,Kansas,Oregon,Oregon
2017,E8,North Carolina,Kentucky,North Carolina
2017,F4,Oregon,North Carolina,North Carolina
2017,F4,South Carolina,Gonzaga,Gonzaga
2017,Final,Gonzaga,North Carolina,North Carolina
2018,R64,Arizona,Buffalo,Buffalo
2018,R64,Arkansas,Butler,Butler
2018,R64,Auburn,College of Charleston,Auburn
2018,R64,Cincinnati,Georgia St.,Cincinnati
2018,R64,Clemson,New Mexico St.,Clemson
2018,R64,Creighton,Kansas St.,Kansas St.
2018,R64,Duke,Iona,Duke
2018,R64,Florida,St. Bonaventure,Florida
2018,R64,Gonzaga,UNC Greensboro,Gonzaga
2018,R64,Houston,San Diego St.,Houston
2018,R64,Kansas,Penn,Kansas
2018,R64,Kentucky,Davidson,Kentucky
2018,R64,Miami FL,Loyola Chicago,Loyola Chicago
2018,R64,Michigan,Montana,Michigan
2018,R64,Michigan St.,Bucknell,Michigan St.
2018,R64,Missouri,Florida St.,Florida St.
2018,R64,Nevada,Texas,Nevada
2018,R64,North Carolina,Lipscomb,North Carolina
2018,R64,Ohio St.,South Dakota St.,Ohio St.
2018,R64,Purdue,Cal St. Fullerton,Purdue
2018,R64,Rhode Island,Oklahoma,Rhode Island
2018,R64,Seton Hall,North Carolina St.,Seton Hall
2018,R64,TCU,Syracuse,Syracuse
2018,R64,Tennessee,Wright St.,Tennessee
2018,R64,Texas A&M,Providence,Texas A&M
2018,R64,Texas Tech,Stephen F. Austin,Texas Tech
2018,R64,Villanova,Radford,Villanova
2018,R64,Virginia,UMBC,UMBC
2018,R64,Virginia Tech,Alabama,Alabama
2018,R64,West Virginia,Murray St.,West Virginia
2018,R64,Wichita St.,Marshall,Marshall
2018,R64,Xavier,Texas Southern,Xavier
2018,R32,Butler,Purdue,Purdue
2018,R32,Clemson,Auburn,Clemson
2018,R32,Florida,Texas Tech,Texas Tech
2018,R32,Houston,Michigan,Michigan
2018,R32,Kansas,Seton Hall,Kansas
2018,R32,Kentucky,Buffalo,Kentucky
2018,R32,Loyola Chicago,Tennessee,Loyola Chicago
2018,R32,Nevada,Cincinnati,Nevada
2018,R32,Ohio St.,Gonzaga,Gonzaga
2018,R32,Rhode Island,Duke,Duke
2018,R32,Syracuse,Michigan St.,Syracuse
2018,R32,Texas A&M,North Carolina,Texas A&M
2018,R32,UMBC,Kansas St.,Kansas St.
2018,R32,Villanova,Alabama,Villanova
2018,R32,West Virginia,Marshall,West Virginia
2018,R32,Xavier,Florida St.,Florida St.
2018,S16,Florida St.,Gonzaga,Florida St.
2018,S16,Kansas,Clemson,Kansas
2018,S16,Kansas St.,Kentucky,Kansas St.
2018,S16,Loyola Chicago,Nevada,Loyola Chicago
2018,S16,Michigan,Texas A&M,Michigan
2018,S16,Syracuse,Duke,Duke
2018,S16,Texas Tech,Purdue,Texas Tech
2018,S16,Villanova,West Virginia,Villanova
2018,E8,Florida St.,Michigan,Michigan
2018,E8,Kansas,Duke,Kansas
2018,E8,Kansas St.,Loyola Chicago,Loyola Chicago
2018,E8,Villanova,Texas Tech,Villanova
2018,F4,Loyola Chicago,Michigan,Michigan
2018,F4,Villanova,Kansas,Villanova
2018,Final,Michigan,Villanova,Villanova
2019,R64,Auburn,New Mexico St.,Auburn
2019,R64,Buffalo,Arizona St.,Buffalo
2019,R64,Cincinnati,Iowa,Iowa
2019,R64,Duke,North Dakota St.,Duke
2019,R64,Florida St.,Vermont,Florida St.
2019,R64,Gonzaga,Fairleigh Dickinson,Gonzaga
2019,R64,Houston,Georgia St.,Houston
2019,R64,Iowa St.,Ohio St.,Ohio St.
2019,R64,Kansas,Northeastern,Kansas
2019,R64,Kansas St.,UC Irvine,UC Irvine
2019,R64,Kentucky,Abilene Christian,Kentucky
2019,R64,LSU,Yale,LSU
2019,R64,Louisville,Minnesota,Minnesota
2019,R64,Marquette,Murray St.,Murray St.
2019,R64,Maryland,Belmont,Maryland
2019,R64,Michigan,Montana,Michigan
2019,R64,Michigan St.,Bradley,Michigan St.
2019,R64,Mississippi,Oklahoma,Oklahoma
2019,R64,Mississippi St.,Liberty,Liberty
2019,R64,Nevada,Florida,Florida
2019,R64,North Carolina,Iona,North Carolina
2019,R64,Purdue,Old Dominion,Purdue
2019,R64,Syracuse,Baylor,Baylor
2019,R64,Tennessee,Colgate,Tennessee
2019,R64,Texas Tech,Northern Kentucky,Texas Tech
2019,R64,Utah St.,Washington,Washington
2019,R64,VCU,UCF,UCF
2019,R64,Villanova,Saint Mary's,Villanova
2019,R64,Virginia,Gardner Webb,Virginia
2019,R64,Virginia Tech,Saint Louis,Virginia Tech
2019,R64,Wisconsin,Oregon,Oregon
2019,R64,Wofford,Seton Hall,Wofford
2019,R32,Auburn,Kansas,Auburn
2019,R32,Buffalo,Texas Tech,Texas Tech
2019,R32,Duke,UCF,Duke
2019,R32,Florida,Michigan,Michigan
2019,R32,Gonzaga,Baylor,Gonzaga
2019,R32,Iowa,Tennessee,Tennessee
2019,R32,Liberty,Virginia Tech,Virginia Tech
2019,R32,Maryland,LSU,LSU
2019,R32,Minnesota,Michigan St.,Michigan St.
2019,R32,Murray St.,Florida St.,Florida St.
2019,R32,North Carolina,Washington,North Carolina
2019,R32,Ohio St.,Houston,Houston
2019,R32,Oregon,UC Irvine,Oregon
2019,R32,Villanova,Purdue,Purdue
2019,R32,Virginia ,Oklahoma,Virginia 
2019,R32,Wofford,Kentucky,Kentucky
2019,S16,Duke,Virginia Tech,Duke
2019,S16,Gonzaga,Florida St.,Gonzaga
2019,S16,Houston,Kentucky,Kentucky
2019,S16,LSU,Michigan St.,Michigan St.
2019,S16,North Carolina,Auburn,Auburn
2019,S16,Purdue,Tennessee,Purdue
2019,S16,Texas Tech,Michigan,Texas Tech
2019,S16,Virginia ,Oregon,Virginia 
2019,E8,Auburn,Kentucky,Auburn
2019,E8,Duke,Michigan St.,Michigan St.
2019,E8,Gonzaga,Texas Tech,Texas Tech
2019,E8,Virginia ,Purdue,Virginia 
2019,F4,Michigan St.,Texas Tech,Texas Tech
2019,F4,Virginia ,Auburn,Virginia 
2019,Final,Texas Tech,Virginia ,Virginia 
2021,R64,Alabama,Iona,Alabama
2021,R64,Arkansas,Colgate,Arkansas
2021,R64,BYU,UCLA,UCLA
2021,R64,Baylor,Hartford,Baylor
2021,R64,Clemson,Rutgers,Rutgers
2021,R64,Colorado,Georgetown,Colorado
2021,R64,Connecticut,Maryland,Maryland
2021,R64,Creighton,UC Santa Barbara,Creighton
2021,R64,Florida,Virginia Tech,Florida
2021,R64,Florida St.,UNC Greensboro,Florida St.
2021,R64,Gonzaga,Norfolk St.,Gonzaga
2021,R64,Houston,Cleveland St.,Houston
2021,R64,Illinois,Drexel,Illinois
2021,R64,Iowa,Grand Canyon,Iowa
2021,R64,Kansas,Eastern Washington,Kansas
2021,R64,LSU,St. Bonaventure,LSU
2021,R64,Loyola Chicago,Georgia Tech,Loyola Chicago
2021,R64,Michigan,Texas Southern,Michigan
2021,R64,North Carolina,Wisconsin,Wisconsin
2021,R64,Ohio St.,Oral Roberts,Oral Roberts
2021,R64,Oklahoma,Missouri,Oklahoma
2021,R64,Oklahoma St.,Liberty,Oklahoma St.
2021,R64,Purdue,North Texas,North Texas
2021,R64,San Diego St.,Syracuse,Syracuse
2021,R64,Tennessee,Oregon St.,Oregon St.
2021,R64,Texas,Abilene Christian,Abilene Christian
2021,R64,Texas Tech,Utah St.,Texas Tech
2021,R64,USC,Drake,USC
2021,R64,Villanova,Winthrop,Villanova
2021,R64,Virginia,Ohio,Ohio
2021,R64,West Virginia,Morehead St.,West Virginia
2021,R32,Baylor,Wisconsin,Baylor
2021,R32,Colorado,Florida St.,Florida St.
2021,R32,Creighton,Ohio,Creighton
2021,R32,Florida,Oral Roberts,Oral Roberts
2021,R32,Gonzaga,Oklahoma,Gonzaga
2021,R32,Illinois,Loyola Chicago,Loyola Chicago
2021,R32,Maryland,Alabama,Alabama
2021,R32,Michigan,LSU,Michigan
2021,R32,Oregon,Iowa,Oregon
2021,R32,Oregon St.,Oklahoma St.,Oregon St.
2021,R32,Rutgers,Houston,Houston
2021,R32,Syracuse,West Virginia,Syracuse
2021,R32,Texas Tech,Arkansas,Arkansas
2021,R32,UCLA,Abilene Christian,UCLA
2021,R32,USC,Kansas,USC
2021,R32,Villanova,North Texas,Villanova
2021,S16,Arkansas,Oral Roberts,Arkansas
2021,S16,Baylor,Villanova,Baylor
2021,S16,Gonzaga,Creighton,Gonzaga
2021,S16,Loyola Chicago,Oregon St.,Oregon St.
2021,S16,Michigan,Florida St.,Michigan
2021,S16,Syracuse,Houston,Houston
2021,S16,UCLA,Alabama,UCLA
2021,S16,USC,Oregon,USC
2021,E8,Baylor,Arkansas,Baylor
2021,E8,Gonzaga,USC,Gonzaga
2021,E8,Michigan,UCLA,UCLA
2021,E8,Oregon St.,Houston,Houston
2021,F4,Baylor,Houston,Baylor
2021,F4,Gonzaga,UCLA,Gonzaga
2021,Final,Gonzaga,Baylor,Baylor
2022,R64,Alabama,Notre Dame,Notre Dame
2022,R64,Arizona,Wright St.,Arizona
2022,R64,Arkansas,Vermont,Arkansas
2022,R64,Auburn,Jacksonville St.,Auburn
2022,R64,Baylor,Norfolk St.,Baylor
2022,R64,Boise St.,Memphis,Memphis
2022,R64,Colorado St.,Michigan,Michigan
2022,R64,Connecticut,New Mexico St.,New Mexico St.
2022,R64,Duke,Cal St. Fullerton,Duke
2022,R64,Gonzaga,Georgia St.,Gonzaga
2022,R64,Houston,UAB,Houston
2022,R64,Illinois,Chattanooga,Illinois
2022,R64,Iowa,Richmond,Richmond
2022,R64,Kansas,Texas Southern,Kansas
2022,R64,Kentucky,Saint Peter's,Saint Peter's
2022,R64,LSU,Iowa St.,Iowa St.
2022,R64,Michigan St.,Davidson,Michigan St.
2022,R64,Murray St.,San Francisco,Murray St.
2022,R64,North Carolina,Marquette,North Carolina
2022,R64,Ohio St.,Loyola Chicago,Ohio St.
2022,R64,Providence,South Dakota St.,Providence
2022,R64,Purdue,Yale,Purdue
2022,R64,Saint Mary's,Indiana,Saint Mary's
2022,R64,San Diego St.,Creighton,Creighton
2022,R64,Seton Hall,TCU,TCU
2022,R64,Tennessee,Longwood,Tennessee
2022,R64,Texas,Virginia Tech,Texas
2022,R64,Texas Tech,Montana St.,Texas Tech
2022,R64,UCLA,Akron,UCLA
2022,R64,USC,Miami FL,Miami FL
2022,R64,Villanova,Delaware,Villanova
2022,R64,Wisconsin,Colgate,Wisconsin
2022,R32,Arizona,TCU,Arizona
2022,R32,Baylor,North Carolina,North Carolina
2022,R32,Gonzaga,Memphis,Gonzaga
2022,R32,Houston,Illinois,Houston
2022,R32,Iowa St.,Wisconsin,Iowa St.
2022,R32,Kansas,Creighton,Kansas
2022,R32,Miami FL,Auburn,Miami FL
2022,R32,Michigan,Tennessee,Michigan
2022,R32,Michigan St.,Duke,Duke
2022,R32,Murray St.,Saint Peter's,Saint Peter's
2022,R32,New Mexico St.,Arkansas,Arkansas
2022,R32,Notre Dame,Texas Tech,Texas Tech
2022,R32,Ohio St.,Villanova,Villanova
2022,R32,Richmond,Providence,Providence
2022,R32,Saint Mary's,UCLA,UCLA
2022,R32,Texas,Purdue,Purdue
2022,S16,Arizona,Houston,Houston
2022,S16,Gonzaga,Arkansas,Arkansas
2022,S16,Iowa St.,Miami FL,Miami FL
2022,S16,Kansas,Providence,Kansas
2022,S16,Michigan,Villanova,Villanova
2022,S16,North Carolina,UCLA,North Carolina
2022,S16,Purdue,Saint Peter's,Saint Peter's
2022,S16,Texas Tech,Duke,Duke
2022,E8,Arkansas,Duke,Duke
2022,E8,Houston,Villanova,Villanova
2022,E8,Kansas,Miami FL,Kansas
2022,E8,North Carolina,Saint Peter's,North Carolina
2022,F4,Duke,North Carolina,North Carolina
2022,F4,Villanova,Kansas,Kansas
2022,Final,North Carolina,Kansas,Kansas
2023,R64,Alabama,Texas A&M Corpus Chris,Alabama
2023,R64,Arizona,Princeton,Princeton
2023,R64,Arkansas,Illinois,Arkansas
2023,R64,Baylor,UC Santa Barbara,Baylor
2023,R64,Connecticut,Iona,Connecticut
2023,R64,Creighton,North Carolina St.,Creighton
2023,R64,Duke,Oral Roberts,Duke
2023,R64,Gonzaga,Grand Canyon,Gonzaga
2023,R64,Houston,Northern Kentucky,Houston
2023,R64,Indiana,Kent St.,Indiana
2023,R64,Iowa,Auburn,Auburn
2023,R64,Iowa St.,Pittsburgh,Pittsburgh
2023,R64,Kansas,Howard,Kansas
2023,R64,Kansas St.,Montana St.,Kansas St.
2023,R64,Kentucky,Providence,Kentucky
2023,R64,Marquette,Vermont,Marquette
2023,R64,Maryland,West Virginia,Maryland
2023,R64,Memphis,Florida Atlantic,Florida Atlantic
2023,R64,Miami FL,Drake,Miami FL
2023,R64,Michigan St.,USC,Michigan St.
2023,R64,Missouri,Utah St.,Missouri
2023,R64,Northwestern,Boise St.,Northwestern
2023,R64,Purdue,Fairleigh Dickinson,Fairleigh Dickinson
2023,R64,Saint Mary's,VCU,Saint Mary's
2023,R64,San Diego St.,College of Charleston,San Diego St.
2023,R64,TCU,Arizona St.,TCU
2023,R64,Tennessee,Louisiana Lafayette,Tennessee
2023,R64,Texas ,Colgate,Texas 
2023,R64,Texas A&M,Penn St.,Penn St.
2023,R64,UCLA,UNC Asheville,UCLA
2023,R64,Virginia,Furman,Furman
2023,R64,Xavier,Kennesaw St.,Xavier
2023,R32,Alabama,Maryland,Alabama
2023,R32,Creighton,Baylor,Creighton
2023,R32,Duke,Tennessee,Tennessee
2023,R32,Fairleigh Dickinson,Florida Atlantic,Florida Atlantic
2023,R32,Houston,Auburn,Houston
2023,R32,Kansas,Arkansas,Arkansas
2023,R32,Kentucky,Kansas St.,Kansas St.
2023,R32,Miami FL,Indiana,Miami FL
2023,R32,Michigan St.,Marquette,Michigan St.
2023,R32,Missouri,Princeton,Princeton
2023,R32,Northwestern,UCLA,UCLA
2023,R32,Penn St.,Texas ,Texas 
2023,R32,Pittsburgh,Xavier,Xavier
2023,R32,Saint Mary's,Connecticut,Connecticut
2023,R32,San Diego St.,Furman,San Diego St.
2023,R32,TCU,Gonzaga,Gonzaga
2023,S16,Alabama,San Diego St.,San Diego St.
2023,S16,Arkansas,Connecticut,Connecticut
2023,S16,Creighton,Princeton,Creighton
2023,S16,Florida Atlantic,Tennessee,Florida Atlantic
2023,S16,Gonzaga,UCLA,Gonzaga
2023,S16,Houston,Miami FL,Miami FL
2023,S16,Kansas St.,Michigan St.,Kansas St.
2023,S16,Xavier,Texas ,Texas 
2023,E8,Connecticut,Gonzaga,Connecticut
2023,E8,Florida Atlantic,Kansas St.,Florida Atlantic
2023,E8,Miami FL,Texas ,Miami FL
2023,E8,San Diego St.,Creighton,San Diego St.
2023,F4,Miami FL,Connecticut,Connecticut
2023,F4,San Diego St.,Florida Atlantic,San Diego St.
2023,Final,San Diego St.,Connecticut,Connecticut
2024,R64,Alabama,College of Charleston,Alabama
2024,R64,Arizona,Long Beach St.,Arizona
2024,R64,Auburn,Yale,Yale
2024,R64,BYU,Duquesne,Duquesne
2024,R64,Baylor,Colgate,Baylor
2024,R64,Clemson,New Mexico,Clemson
2024,R64,Connecticut,Stetson,Connecticut
2024,R64,Creighton,Akron,Creighton
2024,R64,Dayton,Nevada,Dayton
2024,R64,Duke,Vermont,Duke
2024,R64,Florida,Colorado,Colorado
2024,R64,Florida Atlantic,Northwestern,Northwestern
2024,R64,Gonzaga,McNeese St.,Gonzaga
2024,R64,Houston,Longwood,Houston
2024,R64,Illinois,Morehead St.,Illinois
2024,R64,Iowa St.,South Dakota St.,Iowa St.
2024,R64,Kansas,Samford,Kansas
2024,R64,Kentucky,Oakland,Oakland
2024,R64,Marquette,Western Kentucky,Marquette
2024,R64,Mississippi St.,Michigan St.,Michigan St.
2024,R64,Nebraska,Texas A&M,Texas A&M
2024,R64,North Carolina,Wagner,North Carolina
2024,R64,Purdue,Grambling St.,Purdue
2024,R64,Saint Mary's,Grand Canyon,Grand Canyon
2024,R64,San Diego St.,UAB,San Diego St.
2024,R64,South Carolina,Oregon,Oregon
2024,R64,Tennessee,Saint Peter's,Tennessee
2024,R64,Texas,Colorado St.,Texas
2024,R64,Texas Tech,North Carolina St.,North Carolina St.
2024,R64,Utah St.,TCU,Utah St.
2024,R64,Washington St.,Drake,Washington St.
2024,R64,Wisconsin,James Madison,James Madison
2024,R32,Clemson,Baylor,Clemson
2024,R32,Colorado,Marquette,Marquette
2024,R32,Connecticut,Northwestern,Connecticut
2024,R32,Dayton,Arizona,Arizona
2024,R32,Duquesne,Illinois,Illinois
2024,R32,Gonzaga,Kansas,Gonzaga
2024,R32,Grand Canyon,Alabama,Alabama
2024,R32,Houston,Texas A&M,Houston
2024,R32,James Madison,Duke,Duke
2024,R32,North Carolina,Michigan St.,North Carolina
2024,R32,North Carolina St.,Oakland,North Carolina St.
2024,R32,Oregon,Creighton,Creighton
2024,R32,Purdue,Utah St.,Purdue
2024,R32,San Diego St.,Yale,San Diego St.
2024,R32,Texas,Tennessee,Tennessee
2024,R32,Washington St.,Iowa St.,Iowa St.
2024,S16,Clemson,Arizona,Clemson
2024,S16,Connecticut,San Diego St.,Connecticut
2024,S16,Creighton,Tennessee,Tennessee
2024,S16,Houston,Duke,Duke
2024,S16,Illinois,Iowa St.,Illinois
2024,S16,North Carolina,Alabama,Alabama
2024,S16,North Carolina St.,Marquette,North Carolina St.
2024,S16,Purdue,Gonzaga,Purdue
2024,E8,Alabama,Clemson,Alabama
2024,E8,Connecticut,Illinois,Connecticut
2024,E8,Duke,North Carolina St.,North Carolina St.
2024,E8,Purdue,Tennessee,Purdue
2024,F4,Connecticut,Alabama,Connecticut
2024,F4,North Carolina St.,Purdue,Purdue
2024,Final,Connecticut,Purdue,Connecticut
2025,R64,Alabama,Robert Morris,Alabama
2025,R64,Arizona,Akron,Arizona
2025,R64,Auburn,Alabama St.,Auburn
2025,R64,BYU,VCU,BYU
2025,R64,Clemson,McNeese St.,McNeese St.
2025,R64,Connecticut,Oklahoma,Connecticut
2025,R64,Duke,Mount St. Mary's,Duke
2025,R64,Florida,Norfolk St.,Florida
2025,R64,Gonzaga,Georgia,Gonzaga
2025,R64,Houston,SIU Edwardsville,Houston
2025,R64,Illinois,Xavier,Illinois
2025,R64,Iowa St.,Lipscomb,Iowa St.
2025,R64,Kansas,Arkansas,Arkansas
2025,R64,Kentucky,Troy,Kentucky
2025,R64,Louisville,Creighton,Creighton
2025,R64,Marquette,New Mexico,New Mexico
2025,R64,Maryland,Grand Canyon,Maryland
2025,R64,Memphis,Colorado St.,Colorado St.
2025,R64,Michigan,UC San Diego,Michigan
2025,R64,Michigan St.,Bryant,Michigan St.
2025,R64,Mississippi,North Carolina,Mississippi
2025,R64,Mississippi St.,Baylor,Baylor
2025,R64,Missouri,Drake,Drake
2025,R64,Oregon,Liberty,Oregon
2025,R64,Purdue,High Point,Purdue
2025,R64,Saint Mary's,Vanderbilt,Saint Mary's
2025,R64,St. John's,Nebraska Omaha,St. John's
2025,R64,Tennessee,Wofford,Tennessee
2025,R64,Texas A&M,Yale,Texas A&M
2025,R64,Texas Tech,UNC Wilmington,Texas Tech
2025,R64,UCLA,Utah St.,UCLA
2025,R64,Wisconsin,Montana,Wisconsin
2025,R32,Arkansas,St. John's,Arkansas
2025,R32,Auburn,Creighton,Auburn
2025,R32,BYU,Wisconsin,BYU
2025,R32,Colorado St.,Maryland,Maryland
2025,R32,Drake,Texas Tech,Texas Tech
2025,R32,Duke,Baylor,Duke
2025,R32,Florida,Connecticut,Florida
2025,R32,Houston,Gonzaga,Houston
2025,R32,Illinois,Kentucky,Kentucky
2025,R32,McNeese St.,Purdue,Purdue
2025,R32,Michigan,Texas A&M,Michigan
2025,R32,Mississippi,Iowa St.,Mississippi
2025,R32,New Mexico,Michigan St.,Michigan St.
2025,R32,Oregon,Arizona,Arizona
2025,R32,Saint Mary's,Alabama,Alabama
2025,R32,UCLA,Tennessee,Tennessee
2025,S16,Auburn,Michigan,Auburn
2025,S16,BYU,Alabama,Alabama
2025,S16,Duke,Arizona,Duke
2025,S16,Florida,Maryland,Florida
2025,S16,Houston,Purdue,Houston
2025,S16,Kentucky,Tennessee,Tennessee
2025,S16,Mississippi,Michigan St.,Michigan St.
2025,S16,Texas Tech,Arkansas,Texas Tech
2025,E8,Auburn,Michigan St.,Auburn
2025,E8,Duke,Alabama,Duke
2025,E8,Florida,Texas Tech,Florida
2025,E8,Houston,Tennessee,Houston
2025,F4,Auburn,Florida,Florida
2025,F4,Duke,Houston,Houston
2025,Final,Florida,Houston,Florida
